Product Id,Model ,Partner ,Device Type ,Part Number,Vendor,FormFactor,Interface Speed,Performance Class,Tier,TBW Endurance Class,Flash Technology,Capacity,IODevice,ID,,Releases
35938,s1122E2000M4,HGST,PCI-E,,HGST,,,"Class D: 20,000-30,000 writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,2000,s1122,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35938,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35921,s1122E800M4,HGST,PCI-E,,HGST,,,"Class E: 30,000-100,000 writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,800,s1122,,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35921,"ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35574,S842E1600M2,HGST,SAS,,HGST,2.5",6,"Class C: 10,000-20,000 writes per second","vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class D >=7300 TBW,MLC,1600,,S842E1600M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35574,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35575,S842E2000M2,HGST,SAS,,HGST,2.5",6,"Class B: 5,000-10,000 writes per second",vSAN Hybrid Caching Tier,Endurance Class D >=7300 TBW,MLC,2000,,S842E2000M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35575,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35571,S842E200M2,HGST,SAS,,HGST,2.5",6,"Class D: 20,000-30,000 writes per second","vSAN All Flash Caching Tier, vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class C >=3650 TBW,MLC,200,,S842E200M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35571,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35572,S842E400M2,HGST,SAS,,HGST,2.5",6,"Class E: 30,000-100,000 writes per second","vSAN All Flash Caching Tier, vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class D >=7300 TBW,MLC,400,,S842E400M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35572,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35568,s846E1600M2,HGST,SAS,,HGST,2.5",6,"Class E: 30,000-100,000 writes per second","vSAN All Flash Caching Tier, vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class D >=7300 TBW,MLC,1600,,S846E1600M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35568,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
35570,s846E2000M2,HGST,SAS,,HGST,2.5",6,"Class E: 30,000-100,000 writes per second","vSAN All Flash Caching Tier, vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class D >=7300 TBW,MLC,2000,,S846E2000M2,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=35570,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38303,s846E200M1,HGST,SAS,,HGST,1.8",6,"Class E: 30,000-100,000 writes per second","vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class B >=1825 TBW,MLC,200,,S846E200M1,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38303,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
38304,s846E400M1,HGST,SAS,,HGST,1.8",6,"Class E: 30,000-100,000 writes per second","vSAN All Flash Caching Tier, vSAN Hybrid Caching Tier, vSAN All Flash Capacity Tier",Endurance Class C >=3650 TBW,MLC,400,,S846E400M1,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=ssd&productid=38304,"ESXi 6.7 (vSAN 6.7), vSAN 6.6 (ESXi 6.5.0d), ESXi 6.5 U2 (vSAN 6.6.1 U2), ESXi 6.5 U1 (vSAN 6.6.1), ESXi 6.5 (vSAN 6.5), ESXi 6.0 U3 (vSAN 6.2 Update 3), ESXi 6.0 U2 (vSAN 6.2), ESXi 6.0 U1 (vSAN 6.1), ESXi 6.0 (vSAN 6.0), ESXi 5.5 U3 (vSAN 5.5 Update 3), ESXi 5.5 U2 (vSAN 5.5 Update 2), ESXi 5.5 U1 (vSAN 5.5)"
